round,team_name,group_name,group_type,group_code,village,union,union_code,upazila,upazila_code,district,district_code,ward,female_producers_involved,male_producers_involved,female_producers_present,male_producers_present,female_producers_dropout,male_producers_dropout,evaluation_date,facilitator,development_plan,rules_regulation,leadership_process,learning_sharing_space,services,cow_shed_mgmt,feed_mgmt,health_mgmt,breed_dvmt,milk_mgmt,milk_marketing,info_mgmt,gender_equity,total
1.0,Shahjadpur,Doskhinpara -1,2.0,76727503013.0,Gagrakhali,Santhiya Purosova,NA,Santhiya,NA,Pabna,NA,NA,28.0,2.0,28.0,2.0,0.0,0.0,19/05/2014,"Sohel, FF",2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,19.0
1.0,Shahjadpur,Doskhinpara -2,2.0,76727503014.0,Gagrakhali,Santhiya Purosova,NA,Santhiya,NA,Pabna,NA,NA,27.0,3.0,27.0,3.0,0.0,0.0,20/05/2014,"Sohel, FF",2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,18.0
1.0,Shahjadpur,Kali tola,2.0,76727503011.0,Gagrakhali,Santhiya Purosova,NA,Santhiya,NA,Pabna,NA,NA,29.0,1.0,29.0,1.0,0.0,0.0,18/05/2014,"Sohel, FF",2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,20.0
1.0,Shahjadpur,Moddohpara,2.0,76727503012.0,Gagrakhali,Santhiya Purosova,NA,Santhiya,NA,Pabna,NA,NA,29.0,1.0,29.0,1.0,0.0,0.0,21/05/2014,"Sohel, FF",2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,20.0
1.0,Shahjadpur,Uttarpara,2.0,76727503015.0,Gagrakhali,Santhiya Purosova,NA,Santhiya,NA,Pabna,NA,NA,22.0,8.0,22.0,8.0,0.0,0.0,22/05/2014,"Sohel, FF",2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,21.0
1.0,Shahjadpur,Uttarpara,1.0,88675805031.0,Joyrampur,Narina,NA,Shahjadpur,NA,Sirajganj,NA,NA,32.0,0.0,32.0,0.0,0.0,0.0,17/05/2014,"Sheuli, FF",2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,31.0
1.0,Shahjadpur,Purbopara,1.0,88675805032.0,Joyrampur,Narina,NA,Shahjadpur,NA,Sirajganj,NA,NA,27.0,5.0,22.0,5.0,0.0,0.0,17/05/2014,"Sheuli, FF",2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,30.0
1.0,Shahjadpur,Uttarpara-1,1.0,88671208011.0,Kutisathbaria,Beltoil,NA,Shahjadpur,NA,Sirajganj,NA,NA,27.0,1.0,27.0,1.0,0.0,0.0,19/05/2014,"Sheuli, FF",2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,32.0
1.0,Shahjadpur,Uttarpara-2,1.0,88671208012.0,Kutisathbaria,Beltoil,NA,Shahjadpur,NA,Sirajganj,NA,NA,24.0,2.0,24.0,2.0,0.0,0.0,19/05/2014,"Sheuli, FF",2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,30.0
1.0,Shahjadpur,Doskhinpara-1,1.0,88671208013.0,Kutisathbaria,Beltoil,NA,Shahjadpur,NA,Sirajganj,NA,NA,27.0,2.0,27.0,2.0,0.0,0.0,20/05/2014,"Sheuli, FF",1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,29.0
